Booking ID,Cancelled Rides by Customer Reason,Cancelled Rides by Driver Reason,Incomplete Ride Reason
BKG001449,Change of plans,,
BKG001451,,,Vehicle Breakdown
BKG001452,,,Customer Demand
BKG001454,,The customer was coughing/sick,
BKG001455,,The customer was coughing/sick,
BKG001456,,Personal & Car related issues,
BKG001457,,Personal & Car related issues,
BKG001458,,Personal & Car related issues,
BKG001461,,Personal & Car related issues,
BKG001464,,More than permitted people in there,
BKG001466,AC is not working,,
BKG001467,Wrong Address,,
BKG001470,,The customer was coughing/sick,
BKG001471,,Customer related issue,
BKG001472,Change of plans,,
BKG001476,,The customer was coughing/sick,
BKG001482,AC is not working,,
BKG001483,,,Vehicle Breakdown
BKG001485,,,Customer Demand
BKG001487,Wrong Address,,
BKG001488,,,Customer Demand
BKG001489,,More than permitted people in there,
BKG001495,,,Vehicle Breakdown
BKG001496,,More than permitted people in there,
BKG001499,,The customer was coughing/sick,
BKG001503,,The customer was coughing/sick,
BKG001506,,Personal & Car related issues,
BKG001507,,,Vehicle Breakdown
BKG001508,,More than permitted people in there,
BKG001511,Driver asked to cancel,,
BKG001512,AC is not working,,
BKG001513,,The customer was coughing/sick,
BKG001514,,,Customer Demand
BKG001519,,The customer was coughing/sick,
BKG001523,,,Other Issue
BKG001525,,Customer related issue,
BKG001527,,Customer related issue,
BKG001528,,More than permitted people in there,
BKG001530,,,Vehicle Breakdown
BKG001531,,More than permitted people in there,
BKG001533,,,Customer Demand
BKG001534,,,Other Issue
BKG001536,,,Customer Demand
BKG001538,Driver asked to cancel,,
BKG001542,,More than permitted people in there,
BKG001544,Change of plans,,
BKG001545,Driver is not moving towards pickup location,,
BKG001555,,,Other Issue
BKG001558,,,Vehicle Breakdown
BKG001564,,,Vehicle Breakdown
BKG001569,Driver asked to cancel,,
BKG001570,Wrong Address,,
BKG001571,,,Customer Demand
BKG001574,,,Customer Demand
BKG001577,,Customer related issue,
BKG001579,,The customer was coughing/sick,
BKG001580,,The customer was coughing/sick,
BKG001581,,Customer related issue,
BKG001582,,,Other Issue
BKG001583,,Personal & Car related issues,
BKG001585,,,Customer Demand
BKG001586,,Personal & Car related issues,
BKG001592,,,Customer Demand
BKG001593,,Personal & Car related issues,
BKG001594,,Customer related issue,
BKG001595,,The customer was coughing/sick,
BKG001602,,,Vehicle Breakdown
BKG001604,,,Other Issue
BKG001609,,Personal & Car related issues,
BKG001610,Wrong Address,,
BKG001612,Driver asked to cancel,,
BKG001616,,,Vehicle Breakdown
BKG001617,,Personal & Car related issues,
BKG001619,,Customer related issue,
BKG001620,Driver asked to cancel,,
BKG001621,,Personal & Car related issues,
BKG001627,,More than permitted people in there,
BKG001628,,More than permitted people in there,
BKG001633,,Customer related issue,
BKG001634,Driver asked to cancel,,
BKG001639,Change of plans,,
BKG001643,,,Other Issue
BKG001644,,,Other Issue
BKG001647,,The customer was coughing/sick,
BKG001650,,Personal & Car related issues,
BKG001651,Change of plans,,
BKG001652,,,Customer Demand
BKG001654,,Customer related issue,
BKG001656,,The customer was coughing/sick,
BKG001659,,The customer was coughing/sick,
BKG001660,,,Customer Demand
BKG001662,Change of plans,,
BKG001663,,Customer related issue,
BKG001671,,The customer was coughing/sick,
BKG001675,,,Other Issue
BKG001676,,,Customer Demand
BKG001681,Change of plans,,
BKG001682,,Personal & Car related issues,
BKG001687,,Customer related issue,
BKG001688,Driver is not moving towards pickup location,,
BKG001689,Driver is not moving towards pickup location,,
BKG001696,,Customer related issue,
BKG001701,,,Customer Demand
BKG001706,,,Customer Demand
BKG001710,,,Vehicle Breakdown
BKG001715,,,Vehicle Breakdown
BKG001716,,Personal & Car related issues,
BKG001721,,Customer related issue,
BKG001727,Wrong Address,,
BKG001728,Change of plans,,
BKG001735,,Customer related issue,
BKG001739,,Customer related issue,
BKG001744,,The customer was coughing/sick,
BKG001745,,The customer was coughing/sick,
BKG001748,,Customer related issue,
BKG001749,,The customer was coughing/sick,
BKG001751,,The customer was coughing/sick,
BKG001752,,More than permitted people in there,
BKG001753,Change of plans,,
BKG001755,,Customer related issue,
BKG001756,,,Customer Demand
BKG001760,Change of plans,,
BKG001764,,The customer was coughing/sick,
BKG001766,,Personal & Car related issues,
BKG001767,,Customer related issue,
BKG001769,,More than permitted people in there,
BKG001770,,,Vehicle Breakdown
BKG001771,,The customer was coughing/sick,
BKG001774,Driver is not moving towards pickup location,,
BKG001776,,The customer was coughing/sick,
BKG001780,,,Customer Demand
BKG001781,,The customer was coughing/sick,
BKG001783,,More than permitted people in there,
BKG001785,,,Other Issue
BKG001787,Driver asked to cancel,,
BKG001789,,,Other Issue
BKG001794,,Customer related issue,
BKG001797,AC is not working,,
BKG001798,,More than permitted people in there,
BKG001801,,Customer related issue,
BKG001802,,Personal & Car related issues,
BKG001803,,More than permitted people in there,
BKG001804,,,Other Issue
BKG001813,,,Customer Demand
BKG001817,,,Other Issue
BKG001819,,Customer related issue,
BKG001820,,,Customer Demand
BKG001824,,,Vehicle Breakdown
BKG001827,,More than permitted people in there,
BKG001828,,,Vehicle Breakdown
BKG001833,,,Other Issue
BKG001835,,,Customer Demand
BKG001836,,The customer was coughing/sick,
BKG001841,,The customer was coughing/sick,
BKG001842,Driver asked to cancel,,
BKG001844,Driver asked to cancel,,
BKG001845,,Customer related issue,
BKG001849,,,Vehicle Breakdown
BKG001850,,Personal & Car related issues,
BKG001851,Wrong Address,,
BKG001854,,Personal & Car related issues,
BKG001856,,The customer was coughing/sick,
BKG001858,AC is not working,,
BKG001860,,The customer was coughing/sick,
BKG001861,,,Customer Demand
BKG001862,Change of plans,,
BKG001863,,The customer was coughing/sick,
BKG001864,,More than permitted people in there,
BKG001867,,The customer was coughing/sick,
BKG001870,,Customer related issue,
BKG001871,,More than permitted people in there,
BKG001874,,Personal & Car related issues,
BKG001875,,,Customer Demand
BKG001879,,,Vehicle Breakdown
BKG001882,AC is not working,,
BKG001883,Driver is not moving towards pickup location,,
BKG001888,,Customer related issue,
BKG001889,,,Vehicle Breakdown
BKG001894,,Customer related issue,
BKG001898,,The customer was coughing/sick,
BKG001904,,,Customer Demand
BKG001905,,,Other Issue
BKG001910,Change of plans,,
BKG001919,,,Customer Demand
BKG001920,,Personal & Car related issues,
BKG001922,,The customer was coughing/sick,
BKG001924,,,Vehicle Breakdown
BKG001925,AC is not working,,
BKG001930,Driver is not moving towards pickup location,,
BKG001934,,,Vehicle Breakdown
BKG001936,,The customer was coughing/sick,
BKG001938,,,Vehicle Breakdown
BKG001939,,,Vehicle Breakdown
BKG001940,,Personal & Car related issues,
BKG001948,,More than permitted people in there,
BKG001950,,,Customer Demand
BKG001955,,Customer related issue,
BKG001956,Driver is not moving towards pickup location,,
BKG001960,,Personal & Car related issues,
BKG001963,,Customer related issue,
BKG001964,,Personal & Car related issues,
BKG001965,,Customer related issue,
BKG001967,,The customer was coughing/sick,
BKG001968,,,Other Issue
BKG001969,Driver is not moving towards pickup location,,
BKG001970,Driver asked to cancel,,
BKG001974,Driver is not moving towards pickup location,,
BKG001980,,More than permitted people in there,
BKG001981,,Customer related issue,
BKG001983,,More than permitted people in there,
BKG001985,,,Customer Demand
BKG001987,Change of plans,,
BKG001989,,The customer was coughing/sick,
BKG001992,,The customer was coughing/sick,
BKG001995,,The customer was coughing/sick,
BKG001996,,,Customer Demand
BKG001998,,Customer related issue,
BKG001999,,More than permitted people in there,
BKG002005,Driver is not moving towards pickup location,,
BKG002006,,The customer was coughing/sick,
BKG002008,,The customer was coughing/sick,
BKG002009,,,Vehicle Breakdown
BKG002010,,More than permitted people in there,
BKG002012,,The customer was coughing/sick,
BKG002014,,The customer was coughing/sick,
BKG002016,Wrong Address,,
BKG002018,,More than permitted people in there,
BKG002019,,,Other Issue
BKG002021,,Customer related issue,
BKG002022,,,Other Issue
BKG002028,,The customer was coughing/sick,
BKG002029,,,Vehicle Breakdown
BKG002030,,Customer related issue,
BKG002036,,,Customer Demand
BKG002037,,The customer was coughing/sick,
BKG002038,,,Vehicle Breakdown
BKG002044,,More than permitted people in there,
BKG002050,,Personal & Car related issues,
BKG002053,,,Vehicle Breakdown
BKG002057,,,Other Issue
BKG002058,,The customer was coughing/sick,
BKG002060,,,Customer Demand
BKG002061,,More than permitted people in there,
BKG002064,,,Customer Demand
BKG002065,,Customer related issue,
BKG002068,AC is not working,,
BKG002069,,Personal & Car related issues,
BKG002071,,Personal & Car related issues,
BKG002075,,Customer related issue,
BKG002077,,The customer was coughing/sick,
BKG002079,,,Vehicle Breakdown
BKG002080,AC is not working,,
BKG002082,,Customer related issue,
BKG002086,,Personal & Car related issues,
BKG002089,,Customer related issue,
BKG002090,,More than permitted people in there,
BKG002091,,More than permitted people in there,
BKG002092,,Customer related issue,
BKG002093,,Personal & Car related issues,
BKG002095,,Customer related issue,
BKG002101,Change of plans,,
BKG002105,,Personal & Car related issues,
BKG002106,Driver asked to cancel,,
BKG002110,,,Other Issue
BKG002111,AC is not working,,
BKG002112,,Personal & Car related issues,
BKG002119,,Customer related issue,
BKG002121,,More than permitted people in there,
BKG002123,,,Vehicle Breakdown
BKG002125,,More than permitted people in there,
BKG002132,,More than permitted people in there,
BKG002133,,Personal & Car related issues,
BKG002134,,,Other Issue
BKG002135,,Personal & Car related issues,
BKG002136,,Customer related issue,
BKG002137,Driver asked to cancel,,
BKG002138,,,Vehicle Breakdown
BKG002140,Driver is not moving towards pickup location,,
BKG002145,,More than permitted people in there,
BKG002147,,,Customer Demand
BKG002150,,,Vehicle Breakdown
BKG002153,,Customer related issue,
BKG002155,Change of plans,,
BKG002156,,,Other Issue
BKG002157,,,Customer Demand
BKG002158,,More than permitted people in there,
BKG002160,Driver is not moving towards pickup location,,
BKG002162,,,Other Issue
BKG002163,,Customer related issue,
BKG002165,,The customer was coughing/sick,
BKG002167,AC is not working,,
